Katastralgemeindenummer;Katastralgemeinde_Name;Bundesland;GWA;NAPV Anlage 5 Gebiet;Faktor für Saldo;GW-Acker Layer;Feuchtgebiet;Trockengebiet
45305;Kirchberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45306;Leonding;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45307;Neubau;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45308;Pasching;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45309;Rufling;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45310;Schönering;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45311;Traun;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45312;Wilhering;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45313;Ansfelden;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45314;Dörfl;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45315;Enzing;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45316;Fernbach;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45317;Fleckendorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45318;Gemering;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45319;Grünbrunn;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45320;Harmannsdorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45321;Hofkirchen im Traunkreis;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45322;Kremsdorf;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45323;Mickstetten;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45324;Nettingsdorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45325;Niederfraunleiten;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45326;Niederneukirchen;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45327;Oberweidlham;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45328;Rapperswinkel;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45329;Rohrbach;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45330;Ruprechtshofen;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45331;St. Florian Markt;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45332;Samesleiten;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45333;Taunleiten;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45334;Tillysburg;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45335;Unterweidlham;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45401;Amesschlag;Oberösterreich;;;;;;
45402;Bernhardschlag;Oberösterreich;;;;;;
45403;Dietrichschlag;Oberösterreich;;;;;;
45404;Haibach;Oberösterreich;;;;;;
45405;Innernschlag;Oberösterreich;;;;;;
45406;Königschlag;Oberösterreich;;;;;;
45407;Laimbach;Oberösterreich;;;;;;
45408;Leonfelden;Oberösterreich;;;;;;
45409;Lichtenstein;Oberösterreich;;;;;;
45410;Oberneukirchen;Oberösterreich;;;;;;
45411;Oberweissenbach;Oberösterreich;;;;;;
45412;Ottenschlag;Oberösterreich;;;;;;
45413;Reichenau im Mühlkreis;Oberösterreich;;;;;;
45414;Reichenthal;Oberösterreich;;;;;;
45415;Schenkenfelden;Oberösterreich;;;;;;
45416;Stiftung bei Leonfelden;Oberösterreich;;;;;;
45417;Stiftung bei Reichenthal;Oberösterreich;;;;;;
45418;Waldschlag;Oberösterreich;;;;;;
45419;Waxenberg;Oberösterreich;;;;;;
45420;Weigetschlag;Oberösterreich;;;;;;
45421;Zwettl;Oberösterreich;;;;;;
45501;Achleiten;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45502;Allhaming;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45503;Brandstatt;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45504;Burg;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45505;Dambach;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45506;Droissendorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45507;Eggendorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45508;Fischen;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45509;Gries;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45510;Kematen an der Krems;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45511;Kiesenberg;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45512;Kimmersdorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45513;Kurzenkirchen;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45514;Laimgräben;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45515;Lining;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45516;Neuhofen an der Krems;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45517;Nöstlbach;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45518;Oberndorf;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45519;Piberbach;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45520;Pichlwang;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45521;Pucking I;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45522;Pucking II;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45523;St. Leonhard I;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45524;St. Leonhard II;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45525;Tiestling;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45526;Weichstetten;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45527;Weißenberg;Oberösterreich;X;X;0,6;Feuchtgebiet;X;
45601;Bergheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45602;Bogendorf;Oberösterreich;;;;;;
45603;Eidenberg;Oberösterreich;;;;;;
45604;Eidendorf;Oberösterreich;;;;;;
45605;Feldkirchen an der Donau;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45606;Feldsdorf;Oberösterreich;;;;;;
45607;Freudenstein;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45608;Geng;Oberösterreich;;;;;;
45609;Goldwörth;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45610;St. Gotthard;Oberösterreich;;;;;;
45611;Gramastetten;Oberösterreich;;;;;;
45612;Lacken;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45613;Landshaag;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45614;Lindham;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45615;Mühldorf;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45616;Mühllacken;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45617;Niederottensheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45618;Oberottensheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45619;Puchenau;Oberösterreich;;;;;;
45620;Stammering;Oberösterreich;;;;;;
45621;Walding;Oberösterreich;X;;0,6;Feuchtgebiet;X;
45622;Altenberg;Oberösterreich;;;;;;
45623;Engerwitzdorf;Oberösterreich;;;;;;
45624;Gallneukirchen;Oberösterreich;;;;;;
45625;Hellmonsödt;Oberösterreich;;;;;;
45626;Holzwiesen;Oberösterreich;;;;;;
45627;Katzgraben;Oberösterreich;;;;;;
45628;Kirchschlag;Oberösterreich;;;;;;
45629;Klendorf;Oberösterreich;;;;;;
45630;Lachstadt;Oberösterreich;;;;;;
45631;Lichtenberg;Oberösterreich;;;;;;
45632;Niederkulm;Oberösterreich;;;;;;
45633;Oberbairing;Oberösterreich;;;;;;
45634;Oberndorf;Oberösterreich;;;;;;
45635;Pelmberg;Oberösterreich;;;;;;
45636;Pröselsdorf;Oberösterreich;;;;;;
45637;Pulgarn;Oberösterreich;;;;;;
45638;Riedl;Oberösterreich;;;;;;
45639;Sonnberg;Oberösterreich;;;;;;
45640;Steinbach;Oberösterreich;;;;;;
45641;Steyregg;Oberösterreich;;;;;;
46001;Aichberg;Oberösterreich;;;;;;
46002;Antiesenhofen;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46003;Berg;Oberösterreich;;;;;;
46004;Breiningsdorf;Oberösterreich;;;;;;
46005;Dorf;Oberösterreich;;;;;;
46006;Dulmeding;Oberösterreich;;;;;;
46007;Ellreching;Oberösterreich;;;;;;
46008;Furth;Oberösterreich;;;;;;
46009;Gaisbach;Oberösterreich;;;;;;
46010;Geinberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46011;Gerhagen;Oberösterreich;;;;;;
46012;Greiffing;Oberösterreich;;;;;;
46013;Gurten;Oberösterreich;;;;;;
46014;Hart;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46015;Katzenberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46016;Kirchdorf am Inn;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46017;Kramberg;Oberösterreich;;;;;;
46018;Lambrechten;Oberösterreich;;;;;;
46019;Mörschwang;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46020;Mühlheim;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46021;Murau;Oberösterreich;;;;;;
46022;Neuhaus;Oberösterreich;;;;;;
46023;Nonsbach;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46024;Obernberg am Inn;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46025;Ort im Innkreis;Oberösterreich;;;;;;
46026;Reichergerhagen;Oberösterreich;;;;;;
46027;Reichersberg;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46028;St. Georgen bei Obernberg am Inn;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46029;St. Martin im Innkreis Diesseits;Oberösterreich;;;;;;
46030;St. Martin im Innkreis Jenseits;Oberösterreich;;;;;;
46031;Traxlham;Oberösterreich;X;;0,6;Feuchtgebiet;X;
46032;Unterhaslberg;Oberösterreich;;;;;;
